datetime,open,high,low,close,volume
2019-01-01,3690.9,4499.3,3643.7,3820.1,5322.91101947
2019-01-02,3826.0,3920.0,3767.2,3887.7,5678.99677394
2019-01-03,3887.8,3895.5,3721.9,3786.5,5489.91359803
2019-01-04,3785.3,3856.9,3728.8,3823.7,5000.6968721
2019-01-05,3823.6,3874.7,3772.1,3796.6,3491.41601354
2019-01-06,3795.2,4083.9,3760.4,4041.1,7843.59389295
2019-01-07,4044.8,4078.9,3965.0,4005.4,5225.19572034
2019-01-08,4003.7,4113.9,3935.0,3992.9,7973.82867033
2019-01-09,3993.0,4039.8,3966.0,3999.9,5409.62336907
2019-01-10,4002.2,4035.5,3550.0,3623.5,13116.61823184
2019-01-11,3623.5,3694.9,3560.5,3635.1,9717.73505278
2019-01-12,3635.1,3652.4,3562.7,3616.5,2866.1053724
2019-01-13,3616.5,3644.8,3375.0,3512.6,5486.64120672
2019-01-14,3514.9,3717.0,3506.9,3664.8,6840.56752424
2019-01-15,3664.7,3685.5,3550.0,3587.0,6388.52011361
2019-01-16,3586.4,3669.5,3573.4,3606.6,6543.54118557
2019-01-17,3610.5,3660.0,3540.5,3642.9,6009.75229929
2019-01-18,3641.2,3644.8,3576.0,3612.1,4128.7088168
2019-01-19,3612.1,3950.0,3606.1,3683.0,4287.58427905
2019-01-20,3683.0,3702.5,3468.7,3530.6,5889.37383319
2019-01-21,3533.4,3565.0,3487.8,3533.4,3892.83059059
2019-01-22,3533.4,3607.5,3440.0,3575.8,5799.40852821
2019-01-23,3575.7,3613.2,3521.7,3556.1,5094.63625632
2019-01-24,3556.1,3591.7,3531.3,3571.3,3371.36824794
2019-01-25,3571.2,3577.4,3511.6,3560.1,3616.0053743
2019-01-26,3560.1,3673.0,3535.6,3556.2,3117.43068899
2019-01-27,3555.8,3562.2,3470.8,3533.4,2434.7351257
2019-01-28,3533.5,3537.0,3373.8,3431.0,7869.73104791
2019-01-29,3431.0,3440.0,3343.3,3395.0,6036.25085671
2019-01-30,3393.4,3465.1,3371.3,3435.4,4828.20806882
2019-01-31,3435.1,3478.1,3395.2,3409.6,5175.0698467
2019-02-01,3409.6,3460.0,3373.1,3437.2,5744.49685166
2019-02-02,3436.6,3494.1,3414.0,3466.0,2407.82172491
2019-02-03,3467.7,3473.0,3388.6,3415.2,2284.83703092
2019-02-04,3416.9,3437.8,3396.9,3413.9,2793.69016595
2019-02-05,3411.0,3433.8,3397.8,3429.5,2716.09632035
2019-02-06,3429.5,3445.0,3337.0,3367.4,4890.83692002
2019-02-07,3367.2,3382.4,3348.1,3360.3,3185.64646686
2019-02-08,3359.5,3704.9,3341.4,3622.0,10123.46998824
2019-02-09,3622.1,3744.2,3589.6,3625.7,3593.39903966
2019-02-10,3625.7,3657.1,3578.2,3647.1,2497.29403657
2019-02-11,3647.3,3650.7,3577.7,3591.7,3597.99339679
2019-02-12,3591.7,3620.0,3538.2,3588.9,4464.85811947
2019-02-13,3588.9,3632.2,3560.0,3574.0,3733.70514148
2019-02-14,3576.0,3589.3,3532.1,3562.3,3220.85038801
2019-02-15,3560.6,3616.1,3546.8,3567.4,3862.85787178
2019-02-16,3567.8,3613.3,3562.7,3580.1,2054.02537045
2019-02-17,3580.4,3675.0,3552.7,3625.1,3835.32836365
2019-02-18,3625.7,3926.0,3617.0,3870.7,11217.06361172
2019-02-19,3870.1,3975.0,3838.2,3888.1,7690.07295637
2019-02-20,3888.5,3962.5,3865.7,3942.0,5795.68331528
2019-02-21,3938.6,3986.0,3863.2,3897.1,4793.0102018
2019-02-22,3897.1,3954.6,3884.7,3940.5,4723.22400305
2019-02-23,3940.5,4160.1,3911.0,4113.3,6733.63509241
2019-02-24,4110.0,4190.3,3625.0,3732.2,12566.42330159
